contig	LG	av
Contig56040	1	0.9655
Contig56307	1	0.9655
Contig56484	1	0.9655
Contig56541	1	0.9655
Contig56737	1	0.9655
Contig56738	1	0.9655
Contig57100	1	0.9655
Contig57257	1	0.9655
Contig5784	1	0.9655
Contig5789	1	0.9655
Contig57904	1	0.9655
Contig58148	1	0.9655
Contig58649	1	0.9655
Contig58740	1	0.9655
Contig59650	1	0.9655
Contig59761	1	0.9655
Contig60166	1	0.9655
Contig60639	1	0.9655
Contig60966	1	0.9655
Contig61139	1	0.9655
Contig61183	1	0.9655
Contig61230	1	0.9655
Contig61805	1	0.9655
Contig62190	1	0.9655
Contig63008	1	0.9655
Contig63276	1	0.9655
Contig63290	1	0.9655
Contig6384	1	0.9655
Contig64345	1	0.9655
Contig6447	1	0.9655
Contig64904	1	0.9655
Contig65239	1	0.9655
Contig66169	1	0.9655
Contig6622	1	0.9655
Contig66393	1	0.9655
Contig66427	1	0.9655
Contig66727	1	0.9655
Contig67789	1	0.9655
Contig67887	1	0.9655
Contig68067	1	0.9655
Contig68158	1	0.9655
Contig68173	1	0.9655
Contig6821	1	0.9655
Contig68549	1	0.9655
Contig68952	1	0.9655
Contig6901	1	0.9655
Contig69572	1	0.9655
Contig69969	1	0.9655
Contig70463	1	0.9655
Contig70933	1	0.9655
Contig7112	1	0.9655
Contig71543	1	0.9655
Contig71668	1	0.9655
Contig71856	1	0.9655
Contig72254	1	0.9655
Contig72373	1	0.9655
Contig72432	1	0.9655
Contig73166	1	0.9655
Contig73180	1	0.9655
Contig73490	1	0.9655
Contig750	1	0.9655
Contig75889	1	0.9655
Contig7721	1	0.9655
Contig78062	1	0.9655
Contig78239	1	0.9655
Contig7862	1	0.9655
Contig78714	1	0.9655
Contig79093	1	0.9655
Contig79424	1	0.9655
Contig80664	1	0.9655
Contig8097	1	0.9655
Contig8152	1	0.9655
Contig816	1	0.9655
Contig81799	1	0.9655
Contig82491	1	0.9655
Contig82685	1	0.9655
Contig83249	1	0.9655
Contig83333	1	0.9655
Contig83753	1	0.9655
Contig84270	1	0.9655
Contig8493	1	0.9655
Contig85185	1	0.9655
Contig87099	1	0.9655
Contig87916	1	0.9655
Contig8792	1	0.9655
Contig88157	1	0.9655
Contig88534	1	0.9655
Contig88548	1	0.9655
Contig88770	1	0.9655
Contig88918	1	0.9655
Contig88919	1	0.9655
Contig88959	1	0.9655
Contig89780	1	0.9655
Contig89785	1	0.9655
Contig89929	1	0.9655
Contig9052	1	0.9655
Contig9087	1	0.9655
Contig91689	1	0.9655
Contig91818	1	0.9655
Contig92340	1	0.9655
Contig9311	1	0.9655
Contig93791	1	0.9655
Contig94473	1	0.9655
Contig94569	1	0.9655
Contig95284	1	0.9655
Contig95313	1	0.9655
Contig95783	1	0.9655
Contig96348	1	0.9655
Contig97086	1	0.9655
Contig97481	1	0.9655
Contig9795	1	0.9655
Contig9971	1	0.9655
Contig44840	1	1.02175
Contig52616	1	1.035875
Contig55249	1	1.059333333
Contig53796	1	1.067772727
Contig45793	1	1.106125
Contig11969	1	1.126214286
Contig93114	1	1.153
Contig2535	1	1.3405
Contig38112	1	1.528
Contig49304	1	1.528
Contig41944	1	1.7155
Contig13100	1	2.0905
Contig2906	1	2.0905
Contig39332	1	2.0905
Contig4443	1	2.0905
Contig45258	1	2.0905
Contig5808	1	2.0905
Contig619	1	2.0905
Contig63236	1	2.0905
Contig78278	1	2.0905
Contig266715	1	2.6565
Contig60485	1	2.6565
Contig60486	1	2.6565
Contig100704	1	3.2645
Contig126861	1	3.2645
Contig1348	1	3.2645
Contig136745	1	3.2645
Contig177490	1	3.2645
Contig215812	1	3.2645
Contig40592	1	3.2645
Contig43930	1	3.2645
Contig52611	1	3.2645
Contig55802	1	3.2645
Contig74258	1	3.2645
Contig80553	1	3.2645
Contig2512	1	4.229
Contig316306	1	4.229
Contig38378	1	4.229
Contig55	1	4.229
Contig60766	1	4.229
Contig63160	1	4.229
Contig2163	1	6.6055
Contig42850	1	6.6055
Contig63486	1	6.6055
Contig58123	1	8.122
Contig7902	1	8.122
Contig112306	1	8.6855
Contig57227	1	8.6855
Contig72345	1	8.6855
Contig78899	1	8.6855
Contig81776	1	8.6855
Contig137099	1	11.093
Contig54163	1	11.093
Contig71030	1	11.093
Contig72639	1	11.093
Contig107085	1	11.3975
Contig109104	1	11.3975
Contig138427	1	11.3975
Contig1432	1	11.3975
Contig17749	1	11.3975
Contig1823	1	11.3975
Contig3242	1	11.3975
Contig42167	1	11.3975
Contig44766	1	11.3975
Contig44782	1	11.3975
Contig55379	1	11.3975
Contig79429	1	11.3975
Contig84267	1	11.3975
Contig358	1	11.7015
Contig38742	1	11.7015
Contig5246	1	11.7015
Contig6337	1	11.7015
Contig64701	1	11.7015
Contig65156	1	11.7015
Contig9662	1	11.7015
Contig9710	1	11.7015
Contig464	1	12.0025
Contig52244	1	12.0025
Contig286	1	12.2845
Contig3598	1	12.2845
Contig80348	1	12.2845
Contig107593	1	12.85
Contig119203	1	12.85
Contig122016	1	12.85
Contig215952	1	12.85
Contig30215	1	12.85
Contig47901	1	12.85
Contig4794	1	12.85
Contig53532	1	12.85
Contig54249	1	12.85
Contig56787	1	12.85
Contig58981	1	12.85
Contig6998	1	12.85
Contig76757	1	12.85
Contig79024	1	12.85
Contig80287	1	12.85
Contig91333	1	12.85
Contig91470	1	12.85
Contig91471	1	12.85
Contig181413	1	13.1505
Contig270355	1	13.1505
Contig38376	1	13.1505
Contig42466	1	13.1505
Contig45684	1	13.1505
Contig48226	1	13.1505
Contig54546	1	13.1505
Contig57703	1	13.1505
Contig63143	1	13.1505
Contig685	1	13.1505
Contig96851	1	13.1505
Contig107184	1	13.7155
Contig107685	1	13.7155
Contig131313	1	13.7155
Contig13733	1	13.7155
Contig32487	1	13.7155
Contig53275	1	13.7155
Contig6791	1	13.7155
Contig69764	1	13.7155
Contig98451	1	13.7155
Contig342279	1	15.164
Contig39005	1	15.164
Contig96329	1	15.164
Contig96444	1	15.164
Contig110701	1	15.465
Contig120388	1	15.465
Contig1435	1	15.465
Contig148262	1	15.465
Contig39934	1	15.465
Contig40274	1	15.465
Contig40584	1	15.465
Contig618	1	15.465
Contig79792	1	15.465
Contig83516	1	15.465
Contig40582	1	15.605
Contig1688	1	16.31743961
Contig238020	1	16.31743961
Contig381	1	16.31743961
Contig45268	1	16.31743961
Contig50113	1	16.31743961
Contig165091	1	18.15672388
Contig282056	1	18.15672388
Contig48536	1	18.15672388
Contig53935	1	18.15672388
Contig58672	1	18.15672388
Contig63815	1	18.15672388
Contig1754	1	19.99763656
Contig66505	1	20.09294385
Contig42892	1	20.2505
Contig109564	1	20.9185
Contig131476	1	20.9185
Contig148431	1	20.9185
Contig38852	1	20.9185
Contig48960	1	20.9185
Contig49505	1	20.9185
Contig58711	1	20.9185
Contig68117	1	20.9185
Contig77195	1	20.9185
Contig8249	1	20.9185
Contig50540	1	21.1085
Contig6638	1	21.5875
Contig114613	1	21.8705
Contig126882	1	21.8705
Contig272153	1	21.8705
Contig38113	1	21.8705
Contig40977	1	21.8705
Contig44308	1	21.8705
Contig47532	1	21.8705
Contig50341	1	21.8705
Contig51921	1	21.8705
Contig52643	1	21.8705
Contig55301	1	21.8705
Contig58122	1	21.8705
Contig6506	1	21.8705
Contig65337	1	21.8705
Contig66579	1	21.8705
Contig67946	1	21.8705
Contig67985	1	21.8705
Contig68250	1	21.8705
Contig73345	1	21.8705
Contig78214	1	21.8705
Contig78414	1	21.8705
Contig8451	1	21.8705
Contig95180	1	21.8705
Contig141657	1	22.1525
Contig39753	1	22.1525
Contig501	1	22.1525
Contig95541	1	22.1525
Contig146800	1	22.4345
Contig2118	1	22.4345
Contig39527	1	22.4345
Contig45430	1	22.4345
Contig46189	1	22.4345
Contig46248	1	22.4345
Contig47586	1	22.4345
Contig60254	1	22.4345
Contig71672	1	22.4345
Contig72268	1	22.4345
Contig75126	1	22.4345
Contig81387	1	22.4345
Contig96915	1	22.4345
Contig67944	1	22.505
Contig44765	1	22.6225
Contig78029	1	22.7165
Contig89513	1	22.8575
Contig48945	1	23.24086538
Contig43479	1	23.281
Contig229838	1	23.464
Contig15511	1	24.128
Contig6939	1	24.128
Contig133708	1	24.41
Contig2518	1	24.41
Contig40968	1	24.41
Contig41090	1	24.41
Contig45074	1	24.41
Contig47431	1	24.41
Contig50938	1	24.41
Contig53076	1	24.41
Contig57394	1	24.41
Contig65877	1	24.41
Contig7991	1	24.41
Contig206312	1	24.732
Contig1030	1	25.0135
Contig131460	1	25.0135
Contig133238	1	25.0135
Contig1951	1	25.0135
Contig231	1	25.0135
Contig3257	1	25.0135
Contig40902	1	25.0135
Contig43243	1	25.0135
Contig44790	1	25.0135
Contig46462	1	25.0135
Contig62629	1	25.0135
Contig63515	1	25.0135
Contig6952	1	25.0135
Contig339	1	25.3355
Contig44310	1	25.3355
Contig58125	1	25.3355
Contig101754	1	26.18886297
Contig1815	1	26.18886297
Contig6518	1	26.18886297
Contig9176	1	26.18886297
Contig53493	1	27.01239517
Contig59191	1	27.01239517
Contig62316	1	27.01239517
Contig6501	1	27.01239517
Contig103679	1	27.20392121
Contig2935	1	27.20392121
Contig47003	1	27.20392121
Contig6305	1	27.20392121
Contig63108	1	27.20392121
Contig110929	1	27.711
Contig46785	1	27.711
Contig94658	1	27.711
Contig238045	1	28.033
Contig3762	1	28.033
Contig39457	1	28.033
Contig41049	1	28.033
Contig45462	1	28.033
Contig47971	1	28.033
Contig49357	1	28.033
Contig53433	1	28.033
Contig54091	1	28.033
Contig63148	1	28.033
Contig64566	1	28.033
Contig76207	1	28.033
Contig92946	1	28.033
Contig9696	1	28.033
Contig74167	1	28.5965
Contig53278	1	28.685375
Contig140678	1	28.952
Contig347143	1	28.952
Contig38054	1	28.952
Contig38055	1	28.952
Contig41651	1	28.952
Contig42301	1	28.952
Contig43218	1	28.952
Contig47665	1	28.952
Contig52941	1	28.952
Contig53090	1	28.952
Contig53977	1	28.952
Contig60760	1	28.952
Contig89901	1	28.952
Contig94492	1	28.952
Contig52427	1	29.189
Contig188159	1	29.3075
Contig208869	1	29.3075
Contig228211	1	29.3075
Contig307184	1	29.3075
Contig40357	1	29.3075
Contig59898	1	29.3075
Contig70078	1	29.3075
Contig72421	1	29.3075
Contig83136	1	29.3075
Contig95328	1	29.3075
Contig3336	1	29.48525
Contig66279	1	29.48525
Contig1926	1	29.5445
Contig51912	1	29.574125
Contig115064	1	29.663
Contig12658	1	29.663
Contig133354	1	29.663
Contig159559	1	29.663
Contig186825	1	29.663
Contig203986	1	29.663
Contig272225	1	29.663
Contig304982	1	29.663
Contig351286	1	29.663
Contig38313	1	29.663
Contig38701	1	29.663
Contig40481	1	29.663
Contig40548	1	29.663
Contig41055	1	29.663
Contig44337	1	29.663
Contig49931	1	29.663
Contig50660	1	29.663
Contig5200	1	29.663
Contig55024	1	29.663
Contig56228	1	29.663
Contig5823	1	29.663
Contig5839	1	29.663
Contig58965	1	29.663
Contig61414	1	29.663
Contig6355	1	29.663
Contig68423	1	29.663
Contig72067	1	29.663
Contig83826	1	29.663
Contig906	1	29.663
Contig99202	1	29.663
Contig45619	1	29.70255556
Contig115827	1	29.90033333
Contig3667	1	30.019
Contig10993	1	31.0895
Contig41808	1	31.0895
Contig44453	1	31.0895
Contig48822	1	31.0895
Contig49081	1	31.0895
Contig49240	1	31.0895
Contig54829	1	31.0895
Contig55324	1	31.0895
Contig59322	1	31.0895
Contig66077	1	31.0895
Contig75117	1	31.0895
Contig82458	1	31.0895
Contig85012	1	31.0895
Contig9447	1	31.0895
Contig54828	1	31.2425
Contig566	1	31.2425
Contig4598	1	31.2935
Contig83490	1	31.35725
Contig10484	1	31.3955
Contig12508	1	31.3955
Contig13587	1	31.3955
Contig1360	1	31.3955
Contig140604	1	31.3955
Contig149883	1	31.3955
Contig158946	1	31.3955
Contig1597	1	31.3955
Contig16560	1	31.3955
Contig173497	1	31.3955
Contig194870	1	31.3955
Contig2032	1	31.3955
Contig2357	1	31.3955
Contig2481	1	31.3955
Contig254167	1	31.3955
Contig332866	1	31.3955
Contig3554	1	31.3955
Contig355864	1	31.3955
Contig368109	1	31.3955
Contig38400	1	31.3955
Contig40577	1	31.3955
Contig40630	1	31.3955
Contig43521	1	31.3955
Contig43693	1	31.3955
Contig44528	1	31.3955
Contig48586	1	31.3955
Contig5030	1	31.3955
Contig52024	1	31.3955
Contig52778	1	31.3955
Contig55600	1	31.3955
Contig60332	1	31.3955
Contig64837	1	31.3955
Contig6603	1	31.3955
Contig66251	1	31.3955
Contig66536	1	31.3955
Contig66687	1	31.3955
Contig7083	1	31.3955
Contig74211	1	31.3955
Contig74523	1	31.3955
Contig74732	1	31.3955
Contig84724	1	31.3955
Contig8658	1	31.3955
Contig885	1	31.3955
Contig97775	1	31.3955
Contig3184	1	32.053
Contig45474	1	32.053
Contig101029	1	32.359
Contig112933	1	32.359
Contig193171	1	32.359
Contig2026	1	32.359
Contig20723	1	32.359
Contig38664	1	32.359
Contig39964	1	32.359
Contig43924	1	32.359
Contig44189	1	32.359
Contig44343	1	32.359
Contig46424	1	32.359
Contig47856	1	32.359
Contig49025	1	32.359
Contig54424	1	32.359
Contig54628	1	32.359
Contig55535	1	32.359
Contig57657	1	32.359
Contig58105	1	32.359
Contig58452	1	32.359
Contig58475	1	32.359
Contig6023	1	32.359
Contig61573	1	32.359
Contig67937	1	32.359
Contig72689	1	32.359
Contig7763	1	32.359
Contig80188	1	32.359
Contig83326	1	32.359
Contig90132	1	32.359
Contig92985	1	32.359
Contig9366	1	32.359
Contig97440	1	32.359
Contig39963	1	33.67989443
Contig42830	1	33.67989443
Contig47599	1	33.67989443
Contig5360	1	33.67989443
Contig735	1	33.67989443
Contig101267	1	35.104
Contig165111	1	35.104
Contig185920	1	35.104
Contig188477	1	35.104
Contig254615	1	35.104
Contig38117	1	35.104
Contig38886	1	35.104
Contig4177	1	35.104
Contig42380	1	35.104
Contig45574	1	35.104
Contig45746	1	35.104
Contig46895	1	35.104
Contig50583	1	35.104
Contig51048	1	35.104
Contig55145	1	35.104
Contig64796	1	35.104
Contig74535	1	35.104
Contig97639	1	35.104
Contig101065	1	35.667
Contig10587	1	35.667
Contig1078	1	35.667
Contig119475	1	35.667
Contig120418	1	35.667
Contig146863	1	35.667
Contig38887	1	35.667
Contig41203	1	35.667
Contig41577	1	35.667
Contig48957	1	35.667
Contig50878	1	35.667
Contig51517	1	35.667
Contig54885	1	35.667
Contig55448	1	35.667
Contig55478	1	35.667
Contig68819	1	35.667
Contig75065	1	35.667
Contig84100	1	35.667
Contig84846	1	35.667
Contig85735	1	35.667
Contig9943	1	35.667
Contig265623	1	35.808
Contig44087	1	35.949
Contig546	1	35.949
Contig55141	1	35.949
Contig62000	1	35.949
Contig82259	1	35.949
Contig99822	1	35.96877778
Contig55570	1	36.024
Contig45539	1	36.794
Contig56345	1	36.794
Contig5100	1	36.79747135
Contig43534	1	37.0755
Contig53900	1	37.0755
Contig56798	1	37.0755
Contig64611	1	37.0755
Contig76177	1	37.0755
Contig10917	1	37.357
Contig135029	1	37.357
Contig242652	1	37.357
Contig3417	1	37.357
Contig48216	1	37.357
Contig57041	1	37.357
Contig62241	1	37.357
Contig64851	1	37.357
Contig76081	1	37.357
Contig84882	1	37.357
Contig84884	1	37.357
Contig94037	1	37.357
Contig1551	1	37.45083333
Contig38463	1	37.49775
Contig108963	1	37.6385
Contig122096	1	37.6385
Contig126906	1	37.6385
Contig174942	1	37.6385
Contig2061	1	37.6385
Contig267863	1	37.6385
Contig42055	1	37.6385
Contig43908	1	37.6385
Contig44091	1	37.6385
Contig49258	1	37.6385
Contig50647	1	37.6385
Contig51953	1	37.6385
Contig53646	1	37.6385
Contig53682	1	37.6385
Contig53906	1	37.6385
Contig57595	1	37.6385
Contig65513	1	37.6385
Contig665	1	37.6385
Contig66570	1	37.6385
Contig6659	1	37.6385
Contig72109	1	37.6385
Contig7693	1	37.6385
Contig8710	1	37.6385
Contig99939	1	37.6385
Contig2091	1	38.8725
Contig39440	1	38.8725
Contig43626	1	38.8725
Contig61688	1	38.8725
Contig51726	1	39.432
Contig79177	1	39.68866667
Contig150840	1	39.74
Contig42647	1	39.74
Contig44980	1	39.74
Contig48342	1	39.74
Contig52079	1	39.74
Contig63255	1	39.74
Contig55049	1	40.0485
Contig203599	1	40.70685018
Contig51818	1	40.70685018
Contig5905	1	40.70685018
Contig104808	1	41.2815
Contig110302	1	41.2815
Contig111731	1	41.2815
Contig1346	1	41.2815
Contig137751	1	41.2815
Contig138767	1	41.2815
Contig153777	1	41.2815
Contig1796	1	41.2815
Contig179714	1	41.2815
Contig1915	1	41.2815
Contig2373	1	41.2815
Contig2579	1	41.2815
Contig283860	1	41.2815
Contig293256	1	41.2815
Contig357217	1	41.2815
Contig38337	1	41.2815
Contig38577	1	41.2815
Contig39484	1	41.2815
Contig44942	1	41.2815
Contig46819	1	41.2815
Contig47641	1	41.2815
Contig47667	1	41.2815
Contig48343	1	41.2815
Contig49480	1	41.2815
Contig50440	1	41.2815
Contig52810	1	41.2815
Contig53654	1	41.2815
Contig5540	1	41.2815
Contig57322	1	41.2815
Contig66599	1	41.2815
Contig70978	1	41.2815
Contig71281	1	41.2815
Contig73640	1	41.2815
Contig75735	1	41.2815
Contig78072	1	41.2815
Contig9101	1	41.2815
Contig42206	1	41.561
Contig48053	1	41.561
Contig53056	1	41.561
Contig59728	1	41.561
Contig94217	1	41.561
Contig304167	1	41.8405
Contig375901	1	41.8405
Contig51115	1	41.8405
Contig84194	1	41.8405
Contig2307	1	41.93383333
Contig176490	1	42.1205
Contig264	1	42.1205
Contig45520	1	42.1205
Contig49719	1	42.1205
Contig54851	1	42.1205
Contig60647	1	42.1205
Contig83023	1	42.1205
Contig969	1	42.1205
Contig104989	1	42.9605
Contig106350	1	42.9605
Contig11154	1	42.9605
Contig111604	1	42.9605
Contig117662	1	42.9605
Contig119016	1	42.9605
Contig121364	1	42.9605
Contig12529	1	42.9605
Contig130234	1	42.9605
Contig136103	1	42.9605
Contig148815	1	42.9605
Contig149093	1	42.9605
Contig15398	1	42.9605
Contig15502	1	42.9605
Contig16156	1	42.9605
Contig173822	1	42.9605
Contig176139	1	42.9605
Contig2060	1	42.9605
Contig279	1	42.9605
Contig296104	1	42.9605
Contig3517	1	42.9605
Contig38126	1	42.9605
Contig39214	1	42.9605
Contig39363	1	42.9605
Contig39914	1	42.9605
Contig4029	1	42.9605
Contig42298	1	42.9605
Contig43319	1	42.9605
Contig43397	1	42.9605
Contig4360	1	42.9605
Contig43777	1	42.9605
Contig44340	1	42.9605
Contig44842	1	42.9605
Contig47609	1	42.9605
Contig47620	1	42.9605
Contig47634	1	42.9605
Contig48664	1	42.9605
Contig50569	1	42.9605
Contig51065	1	42.9605
Contig51639	1	42.9605
Contig52602	1	42.9605
Contig54458	1	42.9605
Contig59180	1	42.9605
Contig6157	1	42.9605
Contig61904	1	42.9605
Contig6203	1	42.9605
Contig64878	1	42.9605
Contig64993	1	42.9605
Contig65036	1	42.9605
Contig6597	1	42.9605
Contig6608	1	42.9605
Contig66496	1	42.9605
Contig68835	1	42.9605
Contig76114	1	42.9605
Contig84285	1	42.9605
Contig86001	1	42.9605
Contig87314	1	42.9605
Contig87393	1	42.9605
Contig92842	1	42.9605
Contig93215	1	42.9605
Contig93932	1	42.9605
Contig95674	1	42.9605
Contig98432	1	42.9605
Contig99019	1	42.9605
Contig4407	1	45.90753041
Contig1719	1	45.977
Contig38167	1	45.977
Contig41100	1	45.977
Contig46829	1	45.977
Contig52882	1	45.977
Contig5310	1	45.977
Contig56204	1	45.977
Contig5847	1	45.977
Contig61840	1	45.977
Contig70854	1	45.977
Contig74170	1	45.977
Contig77245	1	45.977
Contig84531	1	45.977
Contig10948	1	46.538
Contig113110	1	46.538
Contig11551	1	46.538
Contig121135	1	46.538
Contig13772	1	46.538
Contig152149	1	46.538
Contig209550	1	46.538
Contig21911	1	46.538
Contig227093	1	46.538
Contig38708	1	46.538
Contig38935	1	46.538
Contig40698	1	46.538
Contig41739	1	46.538
Contig4664	1	46.538
Contig47545	1	46.538
Contig48086	1	46.538
Contig49197	1	46.538
Contig51464	1	46.538
Contig52961	1	46.538
Contig59014	1	46.538
Contig61839	1	46.538
Contig64283	1	46.538
Contig68151	1	46.538
Contig69158	1	46.538
Contig8659	1	46.538
Contig95113	1	46.538
Contig98878	1	46.538
Contig154897	1	46.8185
Contig16958	1	46.8185
Contig2965	1	46.8185
Contig31091	1	46.8185
Contig325058	1	46.8185
Contig39181	1	46.8185
Contig46398	1	46.8185
Contig47986	1	46.8185
Contig4883	1	46.8185
Contig48891	1	46.8185
Contig52315	1	46.8185
Contig57677	1	46.8185
Contig59120	1	46.8185
Contig63711	1	46.8185
Contig66491	1	46.8185
Contig68856	1	46.8185
Contig69157	1	46.8185
Contig298419	1	47.6595
Contig44135	1	47.6595
Contig53102	1	47.6595
Contig60600	1	47.6595
Contig62028	1	47.6595
Contig1048	1	48.625
Contig119150	1	48.625
Contig135848	1	48.625
Contig17524	1	48.625
Contig230908	1	48.625
Contig2743	1	48.625
Contig40723	1	48.625
Contig43322	1	48.625
Contig64841	1	48.625
Contig66730	1	48.625
Contig7659	1	48.625
Contig90188	1	48.625
Contig9241	1	48.625
Contig98439	1	48.625
Contig200	1	48.9465
Contig43	1	48.9465
Contig50096	1	48.9465
Contig59259	1	48.9465
Contig63522	1	48.9465
Contig70320	1	48.9465
Contig75509	1	48.9465
Contig43330	1	49.246
Contig45020	1	49.246
Contig57920	1	49.246
Contig10510	1	49.471
Contig103117	1	49.546
Contig107457	1	49.546
Contig44169	1	49.546
Contig53535	1	49.546
Contig59029	1	49.546
Contig8168	1	49.546
Contig96869	1	49.546
Contig101078	1	50.726
Contig134895	1	50.726
Contig20678	1	50.726
Contig2697	1	50.726
Contig328594	1	50.726
Contig372362	1	50.726
Contig38867	1	50.726
Contig39404	1	50.726
Contig39971	1	50.726
Contig40025	1	50.726
Contig41503	1	50.726
Contig41504	1	50.726
Contig4592	1	50.726
Contig46046	1	50.726
Contig46651	1	50.726
Contig51781	1	50.726
Contig62269	1	50.726
Contig64563	1	50.726
Contig65715	1	50.726
Contig71860	1	50.726
Contig71918	1	50.726
Contig74724	1	50.726
Contig77684	1	50.726
Contig82154	1	50.726
Contig9580	1	50.726
Contig93040	1	51.007
Contig10250	1	51.1485
Contig124916	1	51.1485
Contig151298	1	51.1485
Contig40748	1	51.1485
Contig41733	1	51.1485
Contig42952	1	51.1485
Contig50732	1	51.1485
Contig9216	1	51.1485
Contig50875	1	51.288
Contig62857	1	51.288
Contig7481	1	51.288
Contig74838	1	51.288
Contig1518	1	51.951
Contig204259	1	51.951
Contig382	1	51.951
Contig383492	1	51.951
Contig49816	1	51.951
Contig63505	1	51.951
Contig66326	1	51.951
Contig67214	1	51.951
